"Datum";"Von";"bis";"Vertikale Netzlast [MW]";
01.01.2013;00:00;00:15;-1.835;
01.01.2013;00:15;00:30;-1.716;
01.01.2013;00:30;00:45;-1.801;
01.01.2013;00:45;01:00;-1.915;
01.01.2013;01:00;01:15;-2.116;
01.01.2013;01:15;01:30;-2.079;
01.01.2013;01:30;01:45;-2.046;
01.01.2013;01:45;02:00;-2.042;
01.01.2013;02:00;02:15;-2.124;
01.01.2013;02:15;02:30;-2.109;
01.01.2013;02:30;02:45;-2.036;
01.01.2013;02:45;03:00;-2.181;
01.01.2013;03:00;03:15;-2.183;
01.01.2013;03:15;03:30;-2.120;
01.01.2013;03:30;03:45;-2.106;
01.01.2013;03:45;04:00;-2.173;
01.01.2013;04:00;04:15;-2.066;
01.01.2013;04:15;04:30;-2.036;
01.01.2013;04:30;04:45;-2.002;
01.01.2013;04:45;05:00;-1.906;
01.01.2013;05:00;05:15;-1.803;
01.01.2013;05:15;05:30;-1.908;
01.01.2013;05:30;05:45;-1.976;
01.01.2013;05:45;06:00;-2.156;
01.01.2013;06:00;06:15;-2.370;
01.01.2013;06:15;06:30;-2.453;
01.01.2013;06:30;06:45;-2.404;
01.01.2013;06:45;07:00;-2.405;
01.01.2013;07:00;07:15;-2.364;
01.01.2013;07:15;07:30;-2.320;
01.01.2013;07:30;07:45;-2.209;
01.01.2013;07:45;08:00;-2.176;
01.01.2013;08:00;08:15;-2.221;
01.01.2013;08:15;08:30;-2.141;
01.01.2013;08:30;08:45;-2.066;
01.01.2013;08:45;09:00;-1.993;
01.01.2013;09:00;09:15;-1.949;
01.01.2013;09:15;09:30;-1.838;
01.01.2013;09:30;09:45;-1.680;
01.01.2013;09:45;10:00;-1.585;
01.01.2013;10:00;10:15;-1.377;
01.01.2013;10:15;10:30;-1.359;
01.01.2013;10:30;10:45;-1.213;
01.01.2013;10:45;11:00;-1.021;
01.01.2013;11:00;11:15;-951;
01.01.2013;11:15;11:30;-771;
01.01.2013;11:30;11:45;-608;
01.01.2013;11:45;12:00;-492;
01.01.2013;12:00;12:15;-463;
01.01.2013;12:15;12:30;-472;
01.01.2013;12:30;12:45;-390;
01.01.2013;12:45;13:00;-260;
01.01.2013;13:00;13:15;-102;
01.01.2013;13:15;13:30;-143;
01.01.2013;13:30;13:45;-20;
01.01.2013;13:45;14:00;150;
01.01.2013;14:00;14:15;335;
01.01.2013;14:15;14:30;497;
01.01.2013;14:30;14:45;775;
01.01.2013;14:45;15:00;968;
01.01.2013;15:00;15:15;1.230;
01.01.2013;15:15;15:30;1.566;
01.01.2013;15:30;15:45;1.697;
01.01.2013;15:45;16:00;1.744;
01.01.2013;16:00;16:15;1.899;
01.01.2013;16:15;16:30;2.227;
01.01.2013;16:30;16:45;2.522;
01.01.2013;16:45;17:00;2.685;
01.01.2013;17:00;17:15;2.712;
01.01.2013;17:15;17:30;2.884;
01.01.2013;17:30;17:45;2.978;
01.01.2013;17:45;18:00;2.971;
01.01.2013;18:00;18:15;3.205;
01.01.2013;18:15;18:30;3.248;
01.01.2013;18:30;18:45;3.259;
01.01.2013;18:45;19:00;3.148;
01.01.2013;19:00;19:15;3.086;
01.01.2013;19:15;19:30;3.109;
01.01.2013;19:30;19:45;2.955;
01.01.2013;19:45;20:00;2.669;
01.01.2013;20:00;20:15;2.588;
01.01.2013;20:15;20:30;2.507;
01.01.2013;20:30;20:45;2.308;
01.01.2013;20:45;21:00;2.193;
01.01.2013;21:00;21:15;2.042;
01.01.2013;21:15;21:30;2.053;
01.01.2013;21:30;21:45;2.062;
01.01.2013;21:45;22:00;2.257;
01.01.2013;22:00;22:15;2.368;
01.01.2013;22:15;22:30;2.351;
01.01.2013;22:30;22:45;2.247;
01.01.2013;22:45;23:00;1.952;
01.01.2013;23:00;23:15;1.791;
01.01.2013;23:15;23:30;1.668;
01.01.2013;23:30;23:45;1.549;
01.01.2013;23:45;00:00;1.466;
02.01.2013;00:00;00:15;1.415;
02.01.2013;00:15;00:30;1.339;
02.01.2013;00:30;00:45;1.214;
02.01.2013;00:45;01:00;1.054;
02.01.2013;01:00;01:15;920;
02.01.2013;01:15;01:30;845;
02.01.2013;01:30;01:45;779;
02.01.2013;01:45;02:00;725;
02.01.2013;02:00;02:15;708;
02.01.2013;02:15;02:30;791;
02.01.2013;02:30;02:45;762;
02.01.2013;02:45;03:00;814;
02.01.2013;03:00;03:15;778;
02.01.2013;03:15;03:30;826;
02.01.2013;03:30;03:45;722;
02.01.2013;03:45;04:00;662;
02.01.2013;04:00;04:15;737;
02.01.2013;04:15;04:30;749;
02.01.2013;04:30;04:45;738;
02.01.2013;04:45;05:00;780;
02.01.2013;05:00;05:15;893;
02.01.2013;05:15;05:30;831;
02.01.2013;05:30;05:45;779;
02.01.2013;05:45;06:00;718;
02.01.2013;06:00;06:15;842;
02.01.2013;06:15;06:30;953;
02.01.2013;06:30;06:45;1.049;
02.01.2013;06:45;07:00;1.265;
02.01.2013;07:00;07:15;1.556;
02.01.2013;07:15;07:30;1.786;
02.01.2013;07:30;07:45;1.991;
02.01.2013;07:45;08:00;2.265;
02.01.2013;08:00;08:15;2.370;
02.01.2013;08:15;08:30;2.485;
02.01.2013;08:30;08:45;2.534;
02.01.2013;08:45;09:00;2.758;
02.01.2013;09:00;09:15;2.852;
02.01.2013;09:15;09:30;2.866;
02.01.2013;09:30;09:45;2.915;
02.01.2013;09:45;10:00;2.973;
02.01.2013;10:00;10:15;2.931;
02.01.2013;10:15;10:30;2.869;
02.01.2013;10:30;10:45;2.809;
02.01.2013;10:45;11:00;2.822;
